date_sk,date,start_of_year,start_of_quarter,start_of_month,load_date
1,2012-01-01,2012-01-01,2012-01-01,2012-01-01,2026-04-04
2,2012-01-02,2012-01-01,2012-01-01,2012-01-01,2026-04-04
3,2012-01-03,2012-01-01,2012-01-01,2012-01-01,2026-04-04
4,2012-01-04,2012-01-01,2012-01-01,2012-01-01,2026-04-04
5,2012-01-05,2012-01-01,2012-01-01,2012-01-01,2026-04-04
6,2012-01-06,2012-01-01,2012-01-01,2012-01-01,2026-04-04
7,2012-01-07,2012-01-01,2012-01-01,2012-01-01,2026-04-04
8,2012-01-08,2012-01-01,2012-01-01,2012-01-01,2026-04-04
9,2012-01-09,2012-01-01,2012-01-01,2012-01-01,2026-04-04
10,2012-01-10,2012-01-01,2012-01-01,2012-01-01,2026-04-04
11,2012-01-11,2012-01-01,2012-01-01,2012-01-01,2026-04-04
12,2012-01-12,2012-01-01,2012-01-01,2012-01-01,2026-04-04
13,2012-01-13,2012-01-01,2012-01-01,2012-01-01,2026-04-04
14,2012-01-14,2012-01-01,2012-01-01,2012-01-01,2026-04-04
15,2012-01-15,2012-01-01,2012-01-01,2012-01-01,2026-04-04
16,2012-01-16,2012-01-01,2012-01-01,2012-01-01,2026-04-04
17,2012-01-17,2012-01-01,2012-01-01,2012-01-01,2026-04-04
18,2012-01-18,2012-01-01,2012-01-01,2012-01-01,2026-04-04
19,2012-01-19,2012-01-01,2012-01-01,2012-01-01,2026-04-04
20,2012-01-20,2012-01-01,2012-01-01,2012-01-01,2026-04-04
21,2012-01-21,2012-01-01,2012-01-01,2012-01-01,2026-04-04
22,2012-01-22,2012-01-01,2012-01-01,2012-01-01,2026-04-04
23,2012-01-23,2012-01-01,2012-01-01,2012-01-01,2026-04-04
24,2012-01-24,2012-01-01,2012-01-01,2012-01-01,2026-04-04
25,2012-01-25,2012-01-01,2012-01-01,2012-01-01,2026-04-04
26,2012-01-26,2012-01-01,2012-01-01,2012-01-01,2026-04-04
27,2012-01-27,2012-01-01,2012-01-01,2012-01-01,2026-04-04
28,2012-01-28,2012-01-01,2012-01-01,2012-01-01,2026-04-04
29,2012-01-29,2012-01-01,2012-01-01,2012-01-01,2026-04-04
30,2012-01-30,2012-01-01,2012-01-01,2012-01-01,2026-04-04
31,2012-01-31,2012-01-01,2012-01-01,2012-01-01,2026-04-04
32,2012-02-01,2012-01-01,2012-01-01,2012-02-01,2026-04-04
33,2012-02-02,2012-01-01,2012-01-01,2012-02-01,2026-04-04
34,2012-02-03,2012-01-01,2012-01-01,2012-02-01,2026-04-04
35,2012-02-04,2012-01-01,2012-01-01,2012-02-01,2026-04-04
