feature,importance
num__online_boarding,0.14964073508891665
num__inflight_wifi_service,0.14202343135338627
cat__class_Business,0.07057512084008444
cat__type_of_travel_Business,0.06301249111503919
cat__type_of_travel_Personal,0.0590106579060417
num__inflight_entertainment,0.05310118603827894
num__seat_comfort,0.04094400638077563
num__ease_of_online_booking,0.04030710826238356
cat__class_Economy,0.03717624290631597
num__leg_room_service,0.028307161772085733
num__onboard_service,0.02747861767081339
num__age,0.025860995804561613
cat__customer_type_Returning,0.025465653944037766
num__checkin_service,0.02508791582389133
num__flight_distance,0.024534095075082064
num__age_distance_interaction,0.02426702619332897
num__baggage_handling,0.023502922609699748
cat__customer_type_First-time,0.022897219259818937
num__cleanliness,0.022583415034602337
num__inflight_service,0.021187303700191316
num__gate_location,0.013844104454915613
num__departure_and_arrival_time_convenience,0.012992098761219902
num__food_and_drink,0.010263836492653437
num__total_delay,0.009947084297809484
num__arrival_delay,0.009174463097683105
num__departure_delay,0.007784819595888622
cat__gender_Female,0.002792073727038514
cat__gender_Male,0.002709107799700993
cat__class_Economy Plus,0.0021190950523080785
num__delay_flag,0.0014100099414467559
