feature,importance,model
num__0.1,8.766092635524785,Logistic Regression
num__3.2,0.33462565762350516,Logistic Regression
num__3.5,0.176540837270316,Logistic Regression
cat__Business.1_Business,0.06440613109724672,Logistic Regression
cat__Business_Business,0.184939973007748,Logistic Regression
cat__Business_Personal,0.6539614750610215,Logistic Regression
num__5.4,0.10717720303809178,Logistic Regression
cat__Business.1_Economy,0.37728270139687115,Logistic Regression
num__5,0.060583316850710695,Logistic Regression
num__3.1,0.13837359719585085,Logistic Regression
num__2.1,0.16096305451655007,Logistic Regression
cat__First-time_Returning,0.03782370927628662,Logistic Regression
num__3.4,0.15493987109062865,Logistic Regression
cat__First-time_First-time,0.5068452113291181,Logistic Regression
num__5.1,0.10162892203852056,Logistic Regression
num__821,0.057071401634808644,Logistic Regression
num__4,0.1564598218129948,Logistic Regression
num__5.5,0.06461670544950524,Logistic Regression
num__5.3,0.04547832362250215,Logistic Regression
num__48,0.015093954929197557,Logistic Regression
num__3,0.06827147412794027,Logistic Regression
num__5.2,0.029326781443740655,Logistic Regression
num__3.3,0.03990405529526062,Logistic Regression
num__2,0.077015522010856,Logistic Regression
cat__Business.1_Economy Plus,0.15614493175360714,Logistic Regression
cat__Male_Female,0.25092342353022473,Logistic Regression
cat__Male_Male,0.21809807852315727,Logistic Regression
num__delay_flag,0.0,Logistic Regression
num__total_delay,0.0,Logistic Regression
num__0,0.0,Logistic Regression
num__0.1,0.559070868488818,Random Forest
num__3.2,0.09637127875380157,Random Forest
num__3.5,0.05160011233452123,Random Forest
cat__Business.1_Business,0.03862462071444857,Random Forest
cat__Business_Business,0.042208838152391334,Random Forest
cat__Business_Personal,0.0405712608024393,Random Forest
num__5.4,0.02808308154660206,Random Forest
cat__Business.1_Economy,0.02256591601581978,Random Forest
num__5,0.02081710088527604,Random Forest
num__3.1,0.013472685854149897,Random Forest
num__2.1,0.012675011555284183,Random Forest
cat__First-time_Returning,0.008446036285619988,Random Forest
num__3.4,0.01184532026355742,Random Forest
cat__First-time_First-time,0.00882166392506996,Random Forest
num__5.1,0.009018306798460591,Random Forest
num__821,0.005093494796077542,Random Forest
num__4,0.006090148126394399,Random Forest
num__5.5,0.006170765991433492,Random Forest
num__5.3,0.0053783031746283665,Random Forest
num__48,0.003673058859205653,Random Forest
num__3,0.0029761015023558883,Random Forest
num__5.2,0.002261208227188669,Random Forest
num__3.3,0.001991828045933633,Random Forest
num__2,0.001175817663399541,Random Forest
cat__Business.1_Economy Plus,0.00036547626122507737,Random Forest
cat__Male_Female,0.00030535396435906,Random Forest
cat__Male_Male,0.00032634101153887723,Random Forest
num__delay_flag,0.0,Random Forest
num__total_delay,0.0,Random Forest
num__0,0.0,Random Forest
num__0.1,0.6513355374336243,XGBoost
num__3.2,0.060552384704351425,XGBoost
num__3.5,0.04279647767543793,XGBoost
cat__Business.1_Business,0.05338053032755852,XGBoost
cat__Business_Business,0.033914197236299515,XGBoost
cat__Business_Personal,0.0008866661810316145,XGBoost
num__5.4,0.07018867135047913,XGBoost
cat__Business.1_Economy,0.007979347370564938,XGBoost
num__5,0.020596714690327644,XGBoost
num__3.1,0.0003969776153098792,XGBoost
num__2.1,0.0035530789755284786,XGBoost
cat__First-time_Returning,0.014647552743554115,XGBoost
num__3.4,0.0016521087381988764,XGBoost
cat__First-time_First-time,0.00373328966088593,XGBoost
num__5.1,0.007208462804555893,XGBoost
num__821,0.0007293728413060308,XGBoost
num__4,0.008168415166437626,XGBoost
num__5.5,0.0007637223461642861,XGBoost
num__5.3,0.006134799215942621,XGBoost
num__48,0.0037542139180004597,XGBoost
num__3,0.004223494324833155,XGBoost
num__5.2,4.1419047192903236e-05,XGBoost
num__3.3,0.002442687749862671,XGBoost
num__2,0.0008379147620871663,XGBoost
cat__Business.1_Economy Plus,8.199351577786729e-05,XGBoost
cat__Male_Female,0.0,XGBoost
cat__Male_Male,0.0,XGBoost
num__delay_flag,0.0,XGBoost
num__total_delay,0.0,XGBoost
num__0,0.0,XGBoost
