feature,importance
num__online_boarding,0.14713751301705347
num__inflight_wifi_service,0.14011823552987424
cat__class_Business,0.0661220035838303
cat__type_of_travel_Business,0.06394677923344858
cat__type_of_travel_Personal,0.05979187509825647
num__inflight_entertainment,0.05497735792852266
num__seat_comfort,0.04301189234364982
num__ease_of_online_booking,0.04272345017309497
cat__class_Economy,0.03762565920475769
num__leg_room_service,0.028714010620256435
cat__customer_type_First-time,0.02725613188580647
num__flight_distance,0.026731043194574425
num__age,0.02671205454360131
num__age_distance_interaction,0.025888913053606598
num__onboard_service,0.025494869359835498
num__cleanliness,0.025250430295734944
num__checkin_service,0.024105537880170228
num__baggage_handling,0.023717746826410913
cat__customer_type_Returning,0.02306436176938331
num__inflight_service,0.02160218991321085
num__departure_and_arrival_time_convenience,0.014183124306465539
num__gate_location,0.013871980889741255
num__food_and_drink,0.010543710387960717
num__total_delay,0.008765535718950586
num__departure_delay,0.008738103346168655
cat__gender_Female,0.0029099616506042245
cat__gender_Male,0.002856197718065235
cat__class_Economy Plus,0.0024775673530362243
num__delay_flag,0.0016617631739284208
num__arrival_delay,0.0
