Year,Linear Regression,Random Forest,XGBoost,LightGBM
2025,188840683.71922094,176957530.1437163,174240720.0,170315757.11435163
2026,168533854.1481374,166978399.27367473,164900784.0,170315757.11435163
2027,157006607.5867118,170573980.5718456,172907856.0,170315757.11435163
2028,157032865.76066345,170960851.98874635,177771888.0,170315757.11435163
2029,159989217.7500885,176453862.07091504,190446208.0,170315757.11435163
2030,156099512.510664,183661116.4831562,197968144.0,170315757.11435163
2031,144789246.67720988,187416764.6101424,174325152.0,170315757.11435163
2032,133279283.31172086,167372511.86101404,163972736.0,170315757.11435163
2033,126555133.04164213,160599914.57403678,173055664.0,170315757.11435163
2034,123277522.85482436,169055583.27775687,177771888.0,170315757.11435163
