airline,source,review_text,rating,date,verified_purchase
Emirates,skytrax,"Like others, having a complete headache getting a refund due to the war. Everytime you speak to someone on Facebook (because its impossible to call them or use their live chat), you get a different answer as to what is going on. They are clearly working off a script because they cannot answer very specific basic questions. You also cannot speak to anyone in the mythical refunds team so there is no hope of a lot of us ever seeing our hard earned money again. Worst customer service ever. Type Of Traveller Solo Leisure Seat Type Economy Class Date Flown May 2026 Value For Money 1 2 3 4 5 Recommended no",1,2026-05-01,unknown
Emirates,skytrax,"Due to the war situation in the Middle East, I cancelled my flights on April 1st. The hotel processed the refund immediately. Emirates, however, has not returned approximately 3000 EUR even after more than a month. On March 23rd, I was clearly informed that the refund would take up to 15 working days. That timeline has long passed. What followed has been particularly disappointing: multiple contacts with customer service, inconsistent information, and explanations that simply do not hold up — including being told I had not provided bank details (which is incorrect), followed by requests for “understanding” due to a high volume of refunds. One could perhaps understand delays. What is much harder to understand is the absence of transparency, accountability, and any sense of urgency in resolving a straightforward refund case.  For a company that positions itself as a leader in global aviation, this experience is surprising and not in a good way. At this point, I would hesitate to recommen",1,2026-04-30,unknown
Emirates,skytrax,"I recently booked a flight with Emirates from Lisbon to Bali (booking reference LCFKW6). The original itinerary had a short 1h30 connection in Dubai, with a total travel time of around 19 hours. Prior to departure, we were only notified of a minor delay. At no point were we informed that this would result in a missed connection. Only at check-in, approximately 2.5 hours before departure, the passenger was told the onward flight had been changed, resulting in an 18-hour layover in Dubai and a total journey time of approximately 36 hours. Had this been communicated earlier, alternative arrangements could have been made. We were instructed to seek assistance at the transfer desk in Dubai, but no hotel, lounge access, or meaningful support was provided despite the extended layover. This represents both a failure of communication and a lack of duty of care. The significantly extended transit time also created additional stress and concern, as a short connection had been specifically chosen ",1,2026-04-08,unknown
Emirates,skytrax,"I conclude that they are truly worse than a budget carrier. I received a horrendous customer service on-board flight by a cabin supervisor who was unable to manage a difficult passenger sitting on the other end of my row who was trying to take a nap at 5pm, so he came up to me to command me to close the window shades. I explained to him I was feeling unwell and wanted to leave it slightly open (1/4 open and 3/4 closed). He refused! He said that there’s another passenger across the aisle that is complaining and I should comply with his request. Only when I ask him if I fainted on board, would he be responsible, did he say it was my right to leave the window shades open and he will handle it with that lady. Many people had their window shades opened. Mine was three quarter 3/4 closed. Does it make sense that instead of forcing me, he should have given her an eye mask instead?  Inefficiency of Customer Service Team with replies almost only once a month. Upon arrival, I noticed damage made",1,2026-03-26,verified
Emirates,skytrax,Flew in business class from Hong Kong to Bangkok on the 20th March. The lounge at Hong kong airport was nowhere near to Emirates usual standard. The aircraft looked very dated indeed with sockets for the TV not working and neither were the USB sockets for charging our phones. The seats were extremely uncomfortable for a business class flight Food was average at best and service was also very slow. A passenger who spent most of the journey at the on-board bar was drunk when he returned to his seat. Even although the same passenger became rather loud and was also stood up in the aisle just after landing the crew did nothing about the passengers behaviour. This is not acceptable. Aircraft A380 Type Of Traveller Couple Leisure Seat Type Business Class Route Hong Kong to Bangkok Date Flown March 2026 Seat Comfort 1 2 3 4 5 Cabin Staff Service 1 2 3 4 5 Food & Beverages 1 2 3 4 5 Ground Service 1 2 3 4 5 Value For Money 1 2 3 4 5 Recommended no,3,2026-03-24,unknown
Emirates,skytrax,"Check in at BKK was a breeze, lounge with a good choice of F&B. Boarding well organised. The upgraded seats on their A380 are spacious, more comfortable and private. The entertainment system has the best choice, screen size and responsive. Complimentary WIFI worked well throughout the flight. Service was good, beverages of high quality; food was nothing to write home about. The flight from DXB was very different. A rather tired looking and noisy B773 with the old angled flat 2-3-2 configuration. The seats were just ok for the day-flight, but not acceptable for a nightlight. Food was rather underwhelming and service sloppy. I had to make the same requests for drinks and amenities up to three times. No amenity kits for both flights (7 and 8 hours) ,both flights on time. What was missing here was consistency; with one great flight, and the next with below average hard and soft products, Aircraft A380 / Boeing 777-300 Type Of Traveller Solo Leisure Seat Type Business Class Route Bangkok to",7,2026-03-20,verified
Emirates,skytrax,"I am very disappointed with Emirates. I booked my tickets almost a year before travelling as I like to carefully select my seat and more importantly, the type of aircraft I will be travelling on. Emirates changed the second half of the inbound journey from an A380(which I had booked) to a 777-300. They did not even inform me. I found out when I was looking something up, which resulted in me phoning them and writing to them to ask to move me back to any A380 going into any London airport at any time that day. My e-mail, I never got a reply to, and the telephone conversation resulted in them saying I could pay an additional £400,- for the honour of changing my ticket due to what they had done, not me. They later put a disclaimer on the booking saying “mixed fleet”. The 777-300 was an old and noisy aircraft with an illuminated Non Smoking sign above my head, and nowhere to put my bag anywhere near me. To me, it felt more like a Premium Economy than business class. I have flown with Emirat",5,2026-03-01,unknown
Emirates,skytrax,"Business Check-in was a bit of a trek from the metro station, but I appreciated the priority tags and also my ski bag being taken from the check-in counter, rather than me having to drag it to the other side of the terminal. Emirates have organised their lounges so they're above the gate you leave from. The lounge had a good array of foods for breakfast. I was pretty annoyed that they didn't give us a jetbridge to board, but bus instead.  On board the crew spoilt us, meals were beautifully presented and they tasted great and there was an array of snacks available. The seats were not the refurbished seats, but were still very comfortable. The cabin was only about 1/2 full, so plenty of room to move around. We were delayed in immigration at Denpasar due to me not following the correct procedure with the airport tax and our bags were waiting for us at the carousel. I'll definitely give Emirates another go. Aircraft Boeing 777 Type Of Traveller Family Leisure Seat Type Business Class Route",8,2026-02-15,verified
Emirates,skytrax,"I sometimes wonder of the veracity of some over praiseworthy reviews, or were we just unlucky? Our our Manchester to Dubai flight business class was atrocious, we were stuck in the middle two of three centre business class seats - most airlines premium economy is better than this, and the plane was tired and fixtures worn and tatty. Service was abrupt and staff disappeared into the kitchens and stayed there for most of the flight. The food was okay, at BA standard from my recent trips with them. Luckily our transfer in Dubai was fairly brief, because it is an awful place. Our trip in April to Thailand is with Qatar Airways, who are a very long way ahead of Emirates in my experience - a bit like comparing Waitrose with Lidl. Aircraft Boeing 777 Type Of Traveller Couple Leisure Seat Type Business Class Route Manchester to Male via Dubai Date Flown February 2026 Seat Comfort 1 2 3 4 5 Cabin Staff Service 1 2 3 4 5 Food & Beverages 1 2 3 4 5 Inflight Entertainment 1 2 3 4 5 Ground Service ",4,2026-02-14,verified
Emirates,skytrax,"The flights in Business class were full but the crew were excellent and attentive. The food on the Dubai to Birmingham flight was excellent, a starter of prawn, scallop and fennel and main of trout. Excellent service which must be down to the Cabin Managers who have my compliments Type Of Traveller Couple Leisure Seat Type Business Class Route Dubai to Birmingham Date Flown January 2026 Seat Comfort 1 2 3 4 5 Cabin Staff Service 1 2 3 4 5 Food & Beverages 1 2 3 4 5 Inflight Entertainment 1 2 3 4 5 Ground Service 1 2 3 4 5 Value For Money 1 2 3 4 5 Recommended yes",10,2026-02-13,verified
